Wall time,Step,Value
1761211947.0309274,100,-100.0
1761211949.6107788,200,-100.0
1761211952.670522,300,-100.0
1761211955.638469,400,-99.0
1761211958.0579107,500,-100.0
1761211960.5353358,600,-100.0
1761211963.302062,700,-100.0
1761211966.4152448,800,-100.0
1761211973.2146485,900,-100.0
1761211977.000222,1000,-100.0
1761211979.8179057,1100,-100.0
1761211982.7353382,1200,-100.0
1761211986.060412,1300,-100.0
1761211988.7608364,1400,-100.0
1761211995.5207708,1500,-100.0
1761211998.186672,1600,-100.0
1761212000.8796515,1700,-100.0
1761212003.5415063,1800,-100.0
1761212007.139362,1900,-97.0
1761212009.8421845,2000,-99.0
1761212015.71177,2100,-100.0
1761212018.4655786,2200,-99.0
1761212021.3184347,2300,-100.0
1761212024.989228,2400,-100.0
1761212027.6559966,2500,-100.0
1761212030.3356755,2600,-100.0
1761212033.17315,2700,-100.0
1761212035.9305654,2800,-100.0
1761212038.632571,2900,-100.0
1761212041.7211046,3000,-88.0
1761212045.7688556,3100,-100.0
1761212048.4952054,3200,-100.0
1761212051.78057,3300,-95.0
1761212054.5233686,3400,-100.0
1761212057.2795963,3500,-100.0
1761212060.0386753,3600,-100.0
1761212063.8872545,3700,-98.0
1761212067.9799378,3800,-98.0
1761212070.7427192,3900,-100.0
1761212073.5165622,4000,-100.0
1761212076.2925317,4100,-95.0
1761212079.1268976,4200,-55.0
1761212081.9006217,4300,-95.0
1761212084.6797185,4400,-97.0
1761212088.8320649,4500,-97.0
1761212091.6227362,4600,-97.0
1761212094.4324765,4700,-97.0
1761212097.3183415,4800,-98.0
1761212100.1737266,4900,-46.0
1761212105.4485955,5000,-94.0
1761212108.3239973,5100,-100.0
1761212111.2782207,5200,-93.0
1761212114.1785715,5300,-16.0
1761212117.098944,5400,-92.0
1761212119.9945858,5500,-94.0
1761212122.885147,5600,-93.0
1761212125.8058813,5700,-85.0
1761212128.7416015,5800,-72.0
1761212131.7226083,5900,-30.0
1761212134.6587677,6000,-29.0
1761212137.5787928,6100,-66.0
1761212140.4956937,6200,-88.0
1761212144.2362316,6300,-23.0
1761212147.153905,6400,-92.0
1761212150.0813825,6500,-15.0
1761212153.002895,6600,-40.0
1761212155.9456944,6700,-6.0
1761212158.8822994,6800,-36.0
1761212161.8684385,6900,-40.0
1761212164.8177345,7000,-11.0
1761212167.9056885,7100,-41.0
1761212171.554124,7200,-48.0
1761212174.644347,7300,-40.0
1761212177.6546018,7400,-22.0
1761212181.914072,7500,-73.0
1761212184.8770583,7600,-21.0
1761212187.8935833,7700,-50.0
1761212190.8789823,7800,-16.0
1761212193.843635,7900,-28.0
1761212196.85793,8000,-38.0
1761212199.8484766,8100,-19.0
1761212202.8424888,8200,-20.0
1761212205.838448,8300,-19.0
1761212208.858999,8400,-10.0
1761212211.8673139,8500,-30.0
1761212214.8793547,8600,-7.0
1761212218.09956,8700,-7.0
1761212221.8318448,8800,-36.0
1761212224.8456511,8900,-13.0
1761212227.8856664,9000,-13.0
1761212230.9750195,9100,-28.0
1761212234.118877,9200,-3.0
1761212237.1820219,9300,-12.0
1761212240.2280185,9400,-12.0
1761212243.3358424,9500,-12.0
1761212246.402428,9600,-17.0
1761212249.4677637,9700,-7.0
1761212252.5596762,9800,-30.0
1761212255.6230643,9900,-7.0
1761212258.6759608,10000,-7.0
1761212263.557011,10100,-21.0
1761212266.6608968,10200,-8.0
1761212269.7439737,10300,-3.0
1761212272.838592,10400,-12.0
1761212276.0031767,10500,-6.0
1761212279.1853294,10600,-11.0
1761212282.3328257,10700,-13.0
1761212285.4768703,10800,-12.0
1761212288.6124141,10900,-4.0
1761212295.0088155,11000,-9.0
1761212298.1595502,11100,-1.0
1761212301.288738,11200,-8.0
1761212304.4453611,11300,-8.0
1761212307.5967498,11400,-11.0
1761212310.7220113,11500,-4.0
1761212313.8853247,11600,-3.0
1761212317.6340687,11700,-10.0
1761212322.1379056,11800,-7.0
1761212325.2902014,11900,-9.0
1761212328.5020955,12000,-6.0
1761212331.6897292,12100,-1.0
1761212334.8517563,12200,-3.0
1761212338.0143092,12300,-3.0
1761212341.1772993,12400,-4.0
1761212344.368133,12500,-8.0
1761212347.544706,12600,-9.0
1761212351.0582943,12700,-8.0
1761212354.2758448,12800,-4.0
1761212357.4877462,12900,-6.0
1761212360.7001076,13000,-4.0
1761212363.8953085,13100,-9.0
1761212367.1664546,13200,-11.0
1761212370.5620992,13300,-5.0
1761212375.3491533,13400,-1.0
1761212381.3816552,13500,-3.0
1761212384.5381052,13600,-6.0
1761212387.7204008,13700,-13.0
1761212390.9065385,13800,-10.0
1761212395.021101,13900,-1.0
1761212398.2100084,14000,-3.0
1761212401.4200153,14100,-6.0
1761212404.6598952,14200,-7.0
1761212407.960032,14300,-7.0
1761212411.2612317,14400,-7.0
1761212414.5361195,14500,-3.0
1761212417.7715137,14600,0.0
1761212421.0230014,14700,-12.0
1761212424.6679187,14800,-9.0
1761212427.9191444,14900,-1.0
1761212431.5411391,15000,-3.0
1761212438.404521,15100,-2.0
1761212444.5150125,15200,-2.0
1761212448.7873766,15300,-11.0
1761212452.5204756,15400,-3.0
1761212456.079221,15500,-3.0
1761212460.3509605,15600,-5.0
1761212463.8462965,15700,-3.0
1761212467.236891,15800,-6.0
1761212473.1059728,15900,-15.0
1761212477.0502844,16000,-3.0
1761212480.491718,16100,-3.0
1761212483.9385242,16200,-6.0
1761212487.295259,16300,-5.0
1761212490.7791188,16400,-1.0
1761212494.1785774,16500,-5.0
1761212497.731373,16600,-7.0
1761212501.0002058,16700,-2.0
1761212504.551596,16800,-9.0
1761212507.8529515,16900,-4.0
1761212511.1338415,17000,-5.0
1761212514.4477193,17100,-10.0
1761212519.2659385,17200,-1.0
1761212522.5461795,17300,-4.0
1761212525.8230536,17400,-5.0
1761212529.4585156,17500,-1.0
1761212533.7606537,17600,-1.0
1761212538.188333,17700,-6.0
1761212541.4973855,17800,-3.0
1761212545.229596,17900,-3.0
1761212550.2361643,18000,-5.0
1761212553.906044,18100,-6.0
1761212557.3274815,18200,-2.0
1761212560.7183456,18300,-10.0
1761212564.0353446,18400,-6.0
1761212567.517805,18500,-6.0
1761212571.132022,18600,-2.0
1761212574.6405003,18700,-3.0
1761212577.9338055,18800,-5.0
1761212581.2218363,18900,-9.0
1761212584.519827,19000,-6.0
1761212587.8250763,19100,-5.0
1761212591.2513804,19200,-4.0
1761212594.5659258,19300,-2.0
1761212597.88819,19400,-5.0
1761212602.7564304,19500,-4.0
1761212606.1259196,19600,-3.0
1761212609.490401,19700,-4.0
1761212612.8856993,19800,-4.0
1761212616.2942119,19900,-8.0
1761212619.6642969,20000,-3.0
1761212624.9502017,20100,-7.0
1761212628.3561351,20200,-2.0
1761212631.6897748,20300,-2.0
1761212635.0443954,20400,-7.0
1761212638.403546,20500,-3.0
1761212641.760406,20600,-6.0
1761212645.125064,20700,-3.0
1761212648.475627,20800,-8.0
1761212651.9234147,20900,-4.0
1761212655.2918737,21000,-5.0
1761212658.678277,21100,-6.0
1761212662.050681,21200,-3.0
1761212665.405001,21300,-4.0
1761212668.765558,21400,-2.0
1761212672.1365025,21500,-4.0
1761212675.5130785,21600,-5.0
1761212678.89931,21700,-4.0
1761212682.277721,21800,-5.0
1761212685.6950884,21900,-4.0
1761212689.0844555,22000,-5.0
1761212692.4552035,22100,-7.0
1761212695.8412092,22200,-9.0
1761212699.224288,22300,-14.0
1761212702.6262784,22400,-4.0
1761212706.0256383,22500,-10.0
1761212710.4184222,22600,-12.0
1761212713.928722,22700,-6.0
1761212717.3523939,22800,-3.0
1761212720.7622948,22900,-5.0
1761212724.1643367,23000,-3.0
1761212729.5257967,23100,-2.0
1761212732.9693718,23200,-5.0
1761212736.4229937,23300,-5.0
1761212739.8487391,23400,-4.0
1761212743.2821424,23500,-2.0
1761212746.748543,23600,-4.0
1761212750.1780684,23700,-2.0
1761212753.6017087,23800,-4.0
1761212757.048433,23900,-4.0
1761212760.4926903,24000,-4.0
1761212763.9423764,24100,-4.0
1761212768.3594575,24200,-5.0
1761212771.901025,24300,-5.0
1761212775.3445811,24400,-4.0
1761212778.8319643,24500,-7.0
1761212782.2907782,24600,-9.0
1761212785.7340715,24700,-3.0
1761212789.182579,24800,-8.0
1761212792.635359,24900,-9.0
1761212796.0939195,25000,-5.0
1761212799.549526,25100,-5.0
1761212802.987613,25200,-5.0
1761212806.5000355,25300,-2.0
1761212809.962815,25400,-5.0
1761212813.422605,25500,-5.0
1761212816.8817592,25600,-5.0
1761212820.99695,25700,-3.0
1761212825.338916,25800,-6.0
1761212832.5089393,25900,-6.0
1761212836.5432856,26000,-3.0
1761212840.025356,26100,-3.0
1761212843.5118544,26200,-8.0
1761212847.0036786,26300,-6.0
1761212852.314037,26400,-6.0
1761212855.8475118,26500,-5.0
1761212859.3494105,26600,-5.0
1761212862.8087401,26700,-6.0
1761212866.2864256,26800,-6.0
1761212869.775143,26900,-2.0
1761212873.9089713,27000,-6.0
1761212878.563602,27100,-4.0
1761212881.9914348,27200,-3.0
1761212885.4572856,27300,-4.0
1761212888.927663,27400,-4.0
1761212892.7623906,27500,-4.0
1761212896.256133,27600,-4.0
1761212899.7186608,27700,0.0
1761212905.1185794,27800,-5.0
1761212910.063005,27900,-7.0
1761212914.2927306,28000,-2.0
1761212917.7253785,28100,-2.0
1761212921.1583345,28200,-4.0
1761212926.3683434,28300,-3.0
1761212929.9237099,28400,0.0
1761212933.4317524,28500,-3.0
1761212939.366998,28600,-6.0
1761212942.801664,28700,-5.0
1761212946.2803817,28800,-3.0
1761212949.749014,28900,-4.0
1761212953.2805407,29000,0.0
1761212959.4020183,29100,-9.0
1761212962.9269538,29200,-4.0
1761212967.7720995,29300,-4.0
1761212972.666927,29400,-3.0
1761212977.222169,29500,-7.0
1761212980.7897642,29600,-3.0
1761212984.3234081,29700,-5.0
1761212987.8532603,29800,-4.0
1761212991.3770397,29900,-6.0
1761212994.8962436,30000,-5.0
1761212998.563722,30100,-5.0
1761213002.047106,30200,-4.0
1761213005.5277817,30300,-4.0
1761213009.0125816,30400,-4.0
1761213013.5497975,30500,-2.0
1761213017.0870032,30600,-5.0
1761213020.8425536,30700,-6.0
1761213024.326889,30800,-5.0
1761213027.8537276,30900,-4.0
1761213032.3666604,31000,-8.0
1761213035.9238758,31100,-3.0
1761213039.493532,31200,-3.0
1761213043.0242946,31300,-2.0
1761213046.5636537,31400,-1.0
1761213050.1094925,31500,-8.0
1761213053.6557937,31600,-3.0
1761213058.899667,31700,-2.0
1761213062.6740878,31800,-6.0
1761213066.2262654,31900,-9.0
1761213069.77582,32000,-4.0
1761213073.4368744,32100,-11.0
1761213077.0238013,32200,-1.0
1761213080.6023767,32300,-3.0
1761213084.1517344,32400,-4.0
1761213087.7147543,32500,-9.0
1761213091.2708738,32600,0.0
1761213094.8452933,32700,-2.0
1761213098.4433017,32800,-6.0
1761213104.844447,32900,-4.0
1761213108.4260786,33000,-2.0
1761213112.239179,33100,-9.0
1761213115.8091385,33200,-4.0
1761213119.3721244,33300,-1.0
1761213126.4162745,33400,-4.0
1761213129.96586,33500,-3.0
1761213133.6626966,33600,-7.0
1761213137.213228,33700,-5.0
1761213140.767286,33800,-2.0
1761213144.4066708,33900,-4.0
1761213147.961587,34000,-6.0
1761213151.4906251,34100,-4.0
1761213155.029469,34200,-2.0
1761213158.5975263,34300,-5.0
1761213164.5494237,34400,-3.0
1761213168.1377492,34500,-7.0
1761213171.71624,34600,-6.0
1761213175.3199568,34700,-1.0
1761213178.9070826,34800,-4.0
1761213182.774828,34900,-3.0
1761213186.3494523,35000,-3.0
1761213189.9356327,35100,-7.0
1761213193.6244724,35200,-5.0
1761213197.238595,35300,-5.0
1761213200.8447087,35400,-3.0
1761213204.4293115,35500,-3.0
1761213208.0406847,35600,-6.0
1761213211.6402895,35700,-5.0
1761213215.249799,35800,-4.0
1761213218.854908,35900,-1.0
1761213222.476297,36000,-5.0
1761213226.0705366,36100,-4.0
1761213229.66213,36200,-5.0
1761213233.2780058,36300,-5.0
1761213236.9285364,36400,-8.0
1761213240.5241423,36500,-3.0
1761213244.1230428,36600,-3.0
1761213247.7141953,36700,-4.0
1761213251.7317207,36800,-5.0
1761213255.3483984,36900,-1.0
1761213259.0124006,37000,0.0
1761213262.637039,37100,-5.0
1761213266.2326415,37200,-1.0
1761213272.3350174,37300,-3.0
1761213276.009812,37400,-4.0
1761213279.6374032,37500,-7.0
1761213283.2412524,37600,-3.0
1761213286.851666,37700,-2.0
1761213290.4538703,37800,-5.0
1761213294.0811653,37900,-6.0
1761213297.7062736,38000,-5.0
1761213301.3175542,38100,-4.0
1761213304.9401512,38200,-5.0
1761213308.5598874,38300,-8.0
1761213312.2722273,38400,-8.0
1761213315.8931024,38500,-5.0
1761213319.518331,38600,-3.0
1761213323.177763,38700,-7.0
1761213326.786739,38800,-3.0
1761213330.408587,38900,-4.0
1761213334.038517,39000,-4.0
1761213337.6674447,39100,-5.0
1761213341.3056948,39200,-1.0
1761213344.9318786,39300,-4.0
1761213349.1512413,39400,-5.0
1761213352.7968185,39500,-3.0
1761213356.4290187,39600,-3.0
1761213360.0515802,39700,-3.0
1761213363.705637,39800,-5.0
1761213367.345948,39900,-5.0
1761213370.9607754,40000,-5.0
1761213375.594854,40100,-3.0
1761213379.248777,40200,-3.0
1761213382.9162157,40300,-7.0
1761213386.5502574,40400,-4.0
1761213390.218007,40500,-5.0
1761213393.8676457,40600,-7.0
1761213397.5124166,40700,-5.0
1761213401.1414948,40800,-4.0
1761213404.8042057,40900,-1.0
1761213409.5098612,41000,-3.0
1761213413.1536236,41100,-4.0
1761213416.810968,41200,-3.0
1761213420.4736447,41300,-3.0
1761213424.1203852,41400,-4.0
1761213427.771921,41500,-3.0
1761213431.4371035,41600,-5.0
1761213435.2370186,41700,-6.0
1761213438.9103026,41800,0.0
1761213442.6331232,41900,-6.0
1761213446.3668263,42000,-4.0
1761213450.0402327,42100,-11.0
1761213454.249551,42200,-17.0
1761213458.006724,42300,-9.0
1761213461.6686513,42400,-2.0
1761213465.3277826,42500,-4.0
1761213468.9931324,42600,-3.0
1761213473.2031724,42700,-3.0
1761213478.1021864,42800,-5.0
1761213481.7623675,42900,-2.0
1761213487.3394787,43000,-1.0
1761213490.995425,43100,-3.0
1761213494.7075193,43200,-7.0
1761213498.3723862,43300,-6.0
1761213503.3282912,43400,-5.0
1761213506.9792132,43500,-5.0
1761213510.630677,43600,-13.0
1761213514.614028,43700,-4.0
1761213518.182498,43800,-8.0
1761213521.767971,43900,-4.0
1761213525.379197,44000,-4.0
1761213528.9582937,44100,-1.0
1761213532.556385,44200,-4.0
1761213536.1483617,44300,-4.0
1761213539.7351255,44400,-11.0
1761213543.3369877,44500,-5.0
1761213546.967843,44600,-2.0
1761213550.557607,44700,-8.0
1761213554.230736,44800,-3.0
1761213557.860429,44900,-3.0
1761213561.4634686,45000,-13.0
1761213565.0663447,45100,-3.0
1761213568.6670558,45200,-5.0
1761213572.24783,45300,-4.0
1761213575.849665,45400,-2.0
1761213579.4746706,45500,-5.0
1761213583.1123393,45600,-5.0
1761213586.7075324,45700,-2.0
1761213590.3105543,45800,-4.0
1761213593.90459,45900,-4.0
1761213597.5400176,46000,-5.0
1761213601.1275709,46100,-1.0
1761213604.7373147,46200,-5.0
1761213608.3362007,46300,-3.0
1761213613.9044535,46400,-6.0
1761213617.9104557,46500,-2.0
1761213622.4288652,46600,-4.0
1761213627.0681827,46700,-6.0
1761213631.0566988,46800,-4.0
1761213635.2065582,46900,-4.0
1761213639.1458719,47000,-4.0
1761213642.9839358,47100,-4.0
1761213646.979362,47200,-7.0
1761213650.809066,47300,-21.0
1761213655.8426983,47400,-5.0
1761213660.4396496,47500,-9.0
1761213669.8445349,47600,-8.0
1761213674.3709083,47700,-5.0
1761213678.091919,47800,-8.0
1761213682.1169288,47900,-5.0
1761213687.8975255,48000,-15.0
1761213692.1300666,48100,-4.0
1761213696.1451502,48200,-4.0
1761213700.1949055,48300,-7.0
1761213705.0563297,48400,-4.0
1761213709.5728042,48500,-3.0
1761213713.4576259,48600,-4.0
1761213718.8900094,48700,-5.0
1761213722.7173855,48800,-2.0
1761213726.4812777,48900,-4.0
1761213730.3172834,49000,-7.0
1761213734.3578317,49100,-2.0
1761213738.4387434,49200,-3.0
1761213743.963095,49300,-4.0
1761213748.981234,49400,-5.0
1761213752.7070835,49500,-6.0
1761213756.446912,49600,-6.0
1761213760.161051,49700,0.0
1761213763.9098492,49800,-14.0
1761213767.6994631,49900,-11.0
